fecha,idsalaUsada,hora,IdpeliculaProyectada,"precio boleto",boletosVendios
13/01/2023,11,"09:00:00 a. m.",44,111.88,75
13/01/2023,1,"08:00:00 a. m.",40,75.59,165
13/01/2023,13,"12:00:00 a. m.",51,124.94,159
13/01/2023,1,"10:00:00 p. m.",34,67.97,116
13/01/2023,9,"11:00:00 p. m.",55,106.35,38
13/01/2023,14,"07:00:00 a. m.",55,107.69,9
13/01/2023,1,"03:00:00 a. m.",44,145.87,17
13/01/2023,10,"01:00:00 p. m.",37,77.52,14
13/01/2023,2,"04:00:00 a. m.",14,68.68,95
13/01/2023,4,"12:00:00 a. m.",99,116.51,13
13/01/2023,5,"08:00:00 p. m.",4,110.18,56
13/01/2023,9,"07:00:00 a. m.",66,48.35,21
13/01/2023,12,"09:00:00 a. m.",43,149.42,34
13/01/2023,2,"08:00:00 p. m.",13,129.73,93
14/01/2023,9,"12:00:00 p. m.",32,96.93,64
14/01/2023,15,"03:00:00 p. m.",59,47.12,75
14/01/2023,3,"08:00:00 a. m.",33,148.59,11
14/01/2023,4,"02:00:00 p. m.",99,149.85,23
14/01/2023,2,"06:00:00 p. m.",21,131.46,72
14/01/2023,3,"10:00:00 p. m.",28,40.22,145
14/01/2023,6,"02:00:00 a. m.",73,69.18,130
14/01/2023,15,"08:00:00 p. m.",73,71.3,99
14/01/2023,3,"11:00:00 a. m.",52,63.44,46
14/01/2023,8,"09:00:00 a. m.",21,45.37,0
14/01/2023,2,"05:00:00 a. m.",68,124.51,60
14/01/2023,3,"07:00:00 p. m.",43,95.7,147
15/01/2023,4,"03:00:00 a. m.",76,88.82,2
15/01/2023,9,"10:00:00 a. m.",25,102.33,1
15/01/2023,7,"02:00:00 a. m.",64,59.31,146
15/01/2023,10,"03:00:00 a. m.",22,59.78,83
15/01/2023,4,"12:00:00 p. m.",93,92.77,67
15/01/2023,4,"02:00:00 p. m.",9,41.57,37
15/01/2023,13,"09:00:00 a. m.",3,132.13,135
15/01/2023,4,"05:00:00 a. m.",2,39.52,99
15/01/2023,2,"10:00:00 p. m.",45,148.87,84
15/01/2023,9,"05:00:00 a. m.",7,106.04,58
15/01/2023,9,"05:00:00 a. m.",78,88.21,37
15/01/2023,9,"08:00:00 a. m.",9,65.86,78
15/01/2023,2,"07:00:00 p. m.",89,126.59,82
15/01/2023,4,"07:00:00 a. m.",98,46.6,72
15/01/2023,8,"06:00:00 a. m.",29,110.03,38
16/01/2023,13,"10:00:00 a. m.",64,118.56,135
16/01/2023,11,"12:00:00 p. m.",98,118.22,138
16/01/2023,6,"04:00:00 p. m.",18,143.31,5
16/01/2023,3,"12:00:00 a. m.",19,136.4,116
16/01/2023,3,"05:00:00 p. m.",64,125.5,115
16/01/2023,9,"01:00:00 a. m.",92,141.06,4
16/01/2023,4,"03:00:00 a. m.",16,50.19,35
16/01/2023,7,"02:00:00 p. m.",48,66.3,109
16/01/2023,2,"03:00:00 a. m.",85,140.68,30
16/01/2023,1,"01:00:00 a. m.",82,47.14,129
16/01/2023,9,"06:00:00 p. m.",72,35.74,87
17/01/2023,5,"06:00:00 a. m.",54,116.25,119
17/01/2023,1,"12:00:00 p. m.",11,55.92,179
17/01/2023,11,"09:00:00 a. m.",15,136.95,114
17/01/2023,6,"10:00:00 p. m.",49,136.38,115
17/01/2023,2,"08:00:00 p. m.",90,81.37,98
17/01/2023,7,"11:00:00 p. m.",19,134.78,70
17/01/2023,2,"07:00:00 p. m.",5,61.67,20
17/01/2023,3,"06:00:00 p. m.",78,94.67,32
17/01/2023,14,"08:00:00 p. m.",38,82.04,39
17/01/2023,7,"02:00:00 p. m.",65,57.51,15
17/01/2023,11,"09:00:00 a. m.",13,70.49,48
17/01/2023,10,"03:00:00 a. m.",36,114.01,33
17/01/2023,8,"01:00:00 a. m.",56,112.89,18
18/01/2023,12,"05:00:00 a. m.",32,140.35,5
18/01/2023,15,"02:00:00 a. m.",11,143.74,21
18/01/2023,13,"11:00:00 a. m.",17,83.91,155
18/01/2023,15,"09:00:00 p. m.",10,51.07,9
18/01/2023,1,"01:00:00 a. m.",35,98.33,61
18/01/2023,9,"04:00:00 p. m.",86,144.08,86
18/01/2023,15,"01:00:00 a. m.",14,95.38,58
18/01/2023,12,"07:00:00 p. m.",11,37.79,23
18/01/2023,10,"10:00:00 a. m.",6,133.51,61
18/01/2023,6,"12:00:00 p. m.",62,104.69,18
18/01/2023,15,"06:00:00 a. m.",75,31,45
18/01/2023,5,"02:00:00 a. m.",58,46.94,186
19/01/2023,9,"01:00:00 a. m.",56,48.93,59
19/01/2023,3,"11:00:00 a. m.",66,49.66,63
19/01/2023,1,"10:00:00 a. m.",98,126.92,7
19/01/2023,13,"12:00:00 a. m.",34,60.42,50
19/01/2023,13,"11:00:00 a. m.",77,41.91,6
19/01/2023,11,"09:00:00 a. m.",42,122.51,116
19/01/2023,7,"06:00:00 a. m.",78,147.96,26
19/01/2023,12,"01:00:00 p. m.",65,123.71,16
19/01/2023,1,"03:00:00 p. m.",35,119.34,145
19/01/2023,11,"03:00:00 p. m.",90,126.93,33
19/01/2023,15,"08:00:00 p. m.",41,62.74,74
19/01/2023,2,"11:00:00 a. m.",56,100.72,49
19/01/2023,11,"03:00:00 p. m.",11,37.18,133
19/01/2023,2,"09:00:00 p. m.",31,97.58,63
19/01/2023,2,"12:00:00 p. m.",36,71.45,55
19/01/2023,2,"06:00:00 a. m.",43,142.08,24
20/01/2023,9,"02:00:00 a. m.",64,81.6,3
20/01/2023,9,"01:00:00 a. m.",56,137.67,88
20/01/2023,7,"04:00:00 a. m.",42,129.17,164
20/01/2023,3,"01:00:00 p. m.",97,86.05,135
20/01/2023,10,"03:00:00 p. m.",80,149.44,21
20/01/2023,14,"04:00:00 a. m.",8,132.19,22
20/01/2023,15,"06:00:00 p. m.",85,125.18,72
20/01/2023,5,"03:00:00 p. m.",56,50.85,101
20/01/2023,12,"04:00:00 p. m.",51,112.76,2
20/01/2023,10,"07:00:00 a. m.",30,91.95,66
21/01/2023,10,"05:00:00 p. m.",89,52.43,32
21/01/2023,10,"03:00:00 p. m.",28,112.93,17
21/01/2023,5,"08:00:00 p. m.",1,81.5,90
21/01/2023,2,"04:00:00 a. m.",73,34.54,16
21/01/2023,13,"06:00:00 a. m.",24,133.7,42
21/01/2023,9,"02:00:00 p. m.",46,62.49,71
22/01/2023,8,"01:00:00 a. m.",64,118.24,3
22/01/2023,12,"06:00:00 p. m.",25,102.19,6
22/01/2023,12,"03:00:00 p. m.",93,91.54,42
22/01/2023,12,"09:00:00 a. m.",23,116.68,44
22/01/2023,13,"03:00:00 p. m.",57,32.6,4
22/01/2023,3,"04:00:00 a. m.",61,115.66,116
22/01/2023,3,"02:00:00 a. m.",50,145.13,117
22/01/2023,10,"06:00:00 a. m.",43,122.57,24
23/01/2023,6,"09:00:00 p. m.",16,71.83,96
23/01/2023,7,"10:00:00 p. m.",32,130.08,84
23/01/2023,8,"10:00:00 p. m.",34,128.72,15
23/01/2023,14,"08:00:00 a. m.",11,37.58,38
23/01/2023,2,"12:00:00 p. m.",73,41.07,31
23/01/2023,3,"09:00:00 a. m.",11,48.16,43
23/01/2023,5,"01:00:00 p. m.",66,68.8,151
23/01/2023,8,"09:00:00 p. m.",9,78.54,4
23/01/2023,7,"02:00:00 a. m.",8,39.84,121
24/01/2023,13,"08:00:00 a. m.",89,37.76,114
24/01/2023,1,"04:00:00 p. m.",49,59.04,169
24/01/2023,14,"01:00:00 a. m.",96,105.29,44
24/01/2023,1,"04:00:00 p. m.",39,75.58,33
24/01/2023,4,"07:00:00 p. m.",98,136.32,68
24/01/2023,6,"03:00:00 a. m.",76,62.2,78
24/01/2023,10,"11:00:00 p. m.",41,127.66,76
24/01/2023,10,"07:00:00 p. m.",39,115.57,91
24/01/2023,3,"04:00:00 a. m.",4,43.18,40
24/01/2023,4,"01:00:00 a. m.",95,119.7,9
24/01/2023,12,"10:00:00 a. m.",76,88.97,30
24/01/2023,3,"10:00:00 a. m.",27,79.54,64
24/01/2023,3,"06:00:00 a. m.",52,83.27,135
24/01/2023,1,"06:00:00 p. m.",50,80.35,42
25/01/2023,12,"06:00:00 a. m.",2,51.26,32
25/01/2023,8,"02:00:00 p. m.",29,106.02,31
25/01/2023,12,"01:00:00 p. m.",9,42.84,49
25/01/2023,5,"09:00:00 p. m.",27,53.83,161
25/01/2023,6,"02:00:00 a. m.",52,78.88,61
25/01/2023,2,"11:00:00 a. m.",47,89.54,13
25/01/2023,12,"11:00:00 a. m.",58,75.01,9
25/01/2023,1,"03:00:00 a. m.",29,58.86,200
25/01/2023,2,"07:00:00 a. m.",46,122.76,56
26/01/2023,10,"03:00:00 a. m.",68,113.21,23
26/01/2023,4,"12:00:00 a. m.",53,42.79,0
26/01/2023,14,"08:00:00 a. m.",51,52.44,7
26/01/2023,12,"01:00:00 p. m.",61,36.89,17
26/01/2023,10,"06:00:00 a. m.",16,74.44,87
26/01/2023,6,"01:00:00 a. m.",52,33.92,81
26/01/2023,15,"03:00:00 p. m.",15,56.21,86
26/01/2023,1,"05:00:00 p. m.",19,47.95,108
26/01/2023,2,"09:00:00 a. m.",87,90.78,20
26/01/2023,13,"04:00:00 p. m.",36,133.54,113
26/01/2023,1,"11:00:00 p. m.",22,101.24,199
26/01/2023,2,"03:00:00 p. m.",64,143.24,35
26/01/2023,14,"06:00:00 p. m.",68,88.5,32
26/01/2023,3,"05:00:00 p. m.",50,116.49,113
26/01/2023,6,"11:00:00 p. m.",42,106.51,149
26/01/2023,8,"02:00:00 a. m.",28,68.75,28
26/01/2023,5,"07:00:00 p. m.",7,149.8,124
26/01/2023,13,"11:00:00 a. m.",54,56.03,156
26/01/2023,8,"01:00:00 p. m.",2,117.62,41
27/01/2023,1,"09:00:00 a. m.",2,114.3,108
27/01/2023,10,"03:00:00 a. m.",29,100.16,50
27/01/2023,8,"02:00:00 a. m.",21,89.32,33
27/01/2023,14,"10:00:00 a. m.",91,32.1,3
27/01/2023,13,"05:00:00 p. m.",17,127.46,9
27/01/2023,15,"08:00:00 a. m.",72,68.45,38
27/01/2023,10,"05:00:00 a. m.",30,42.86,99
27/01/2023,11,"01:00:00 p. m.",63,127.63,60
27/01/2023,3,"04:00:00 a. m.",91,135.28,96
28/01/2023,8,"03:00:00 a. m.",5,63.1,42
28/01/2023,4,"03:00:00 a. m.",86,45.74,31
28/01/2023,11,"06:00:00 p. m.",96,127.53,98
28/01/2023,10,"05:00:00 p. m.",39,132.48,32
28/01/2023,10,"01:00:00 p. m.",37,100.94,91
28/01/2023,15,"02:00:00 p. m.",81,76.64,80
28/01/2023,6,"10:00:00 a. m.",33,147.61,123
28/01/2023,3,"04:00:00 p. m.",32,85.25,7
28/01/2023,5,"11:00:00 a. m.",90,145.78,109
28/01/2023,14,"05:00:00 a. m.",88,146.44,3
28/01/2023,7,"08:00:00 p. m.",76,89.1,2
28/01/2023,13,"06:00:00 a. m.",41,51.09,43
29/01/2023,6,"07:00:00 p. m.",77,36.75,105
29/01/2023,9,"03:00:00 p. m.",63,47.21,85
29/01/2023,14,"05:00:00 a. m.",82,132.44,26
29/01/2023,14,"05:00:00 p. m.",15,66.43,45
29/01/2023,9,"10:00:00 p. m.",87,90.77,33
29/01/2023,8,"06:00:00 a. m.",73,56.12,2
29/01/2023,9,"10:00:00 p. m.",75,53.51,96
29/01/2023,9,"08:00:00 a. m.",20,46.28,11
29/01/2023,11,"04:00:00 a. m.",82,127.9,68
29/01/2023,12,"02:00:00 a. m.",8,99.44,38
29/01/2023,9,"10:00:00 p. m.",76,79.65,4
29/01/2023,5,"01:00:00 a. m.",73,73.4,39
29/01/2023,4,"02:00:00 a. m.",51,122.9,82
29/01/2023,13,"07:00:00 p. m.",65,121.96,63
29/01/2023,8,"10:00:00 p. m.",26,114.34,44
30/01/2023,11,"03:00:00 a. m.",37,46.32,30
30/01/2023,15,"02:00:00 p. m.",23,96.73,76
30/01/2023,8,"01:00:00 a. m.",58,74.64,12
30/01/2023,3,"11:00:00 p. m.",7,104.92,3
30/01/2023,8,"07:00:00 a. m.",88,80.65,27
30/01/2023,4,"10:00:00 a. m.",83,107.57,24
30/01/2023,7,"01:00:00 a. m.",74,132.59,49
30/01/2023,11,"10:00:00 p. m.",42,51.59,111
30/01/2023,7,"01:00:00 p. m.",59,126.8,173
30/01/2023,2,"04:00:00 a. m.",92,44.26,38
30/01/2023,4,"11:00:00 p. m.",61,64.56,8
30/01/2023,4,"10:00:00 a. m.",81,118.59,29
30/01/2023,2,"04:00:00 p. m.",63,131.15,92
30/01/2023,2,"04:00:00 a. m.",56,59.51,87
30/01/2023,6,"12:00:00 p. m.",19,100.19,82
31/01/2023,7,"07:00:00 a. m.",68,95.5,23
31/01/2023,13,"07:00:00 p. m.",22,103.47,142
31/01/2023,6,"08:00:00 a. m.",53,93.53,81
31/01/2023,3,"03:00:00 p. m.",7,62.77,32
31/01/2023,7,"05:00:00 p. m.",87,134.55,6
31/01/2023,13,"05:00:00 p. m.",88,140.46,151
31/01/2023,8,"08:00:00 a. m.",36,70.68,33
31/01/2023,15,"09:00:00 p. m.",21,34.67,0
31/01/2023,4,"11:00:00 p. m.",46,46.92,88
31/01/2023,1,"03:00:00 p. m.",56,95.68,134
31/01/2023,12,"07:00:00 p. m.",49,123.44,19
31/01/2023,3,"02:00:00 p. m.",83,66.42,17
31/01/2023,8,"08:00:00 a. m.",86,148.69,48
31/01/2023,13,"12:00:00 a. m.",24,45.83,134
31/01/2023,9,"03:00:00 p. m.",6,73.99,68
31/01/2023,10,"08:00:00 a. m.",92,104.32,7
31/01/2023,2,"11:00:00 p. m.",85,44.25,26
31/01/2023,5,"07:00:00 a. m.",73,77.84,55
01/02/2023,14,"05:00:00 p. m.",13,101.39,0
01/02/2023,1,"09:00:00 a. m.",4,106.89,155
01/02/2023,4,"07:00:00 a. m.",64,132.86,90
01/02/2023,15,"12:00:00 a. m.",40,86.33,70
01/02/2023,10,"08:00:00 a. m.",13,123.15,94
01/02/2023,7,"05:00:00 p. m.",25,58.56,152
01/02/2023,4,"03:00:00 p. m.",79,146.8,72
01/02/2023,1,"01:00:00 a. m.",72,44.55,95
01/02/2023,8,"03:00:00 a. m.",54,95.78,16
01/02/2023,8,"10:00:00 p. m.",7,56.89,50
02/02/2023,1,"07:00:00 a. m.",100,89.7,199
02/02/2023,1,"02:00:00 p. m.",90,40.51,4
02/02/2023,2,"10:00:00 a. m.",54,86.43,99
02/02/2023,2,"06:00:00 a. m.",87,60.95,44
02/02/2023,15,"10:00:00 p. m.",95,58.84,10
02/02/2023,8,"07:00:00 p. m.",12,103.67,0
02/02/2023,10,"02:00:00 p. m.",88,101.07,45
02/02/2023,12,"11:00:00 p. m.",70,43.12,34
02/02/2023,1,"03:00:00 a. m.",9,147.45,120
03/02/2023,9,"05:00:00 p. m.",14,92.58,77
03/02/2023,12,"05:00:00 a. m.",17,64.37,25
03/02/2023,15,"05:00:00 a. m.",58,70.18,59
03/02/2023,14,"12:00:00 a. m.",9,132.03,20
03/02/2023,7,"04:00:00 p. m.",66,49.16,41
03/02/2023,6,"04:00:00 p. m.",28,120.84,2
03/02/2023,12,"08:00:00 p. m.",6,110.36,22
03/02/2023,15,"01:00:00 p. m.",79,78.77,38
03/02/2023,1,"09:00:00 p. m.",49,85.92,85
03/02/2023,8,"02:00:00 a. m.",4,80.77,50
04/02/2023,11,"12:00:00 p. m.",55,101.74,114
04/02/2023,13,"07:00:00 p. m.",1,50.3,22
04/02/2023,2,"05:00:00 p. m.",8,55.95,100
04/02/2023,12,"09:00:00 p. m.",18,38.36,22
04/02/2023,6,"12:00:00 p. m.",27,102.41,162
04/02/2023,10,"09:00:00 a. m.",89,111.43,26
04/02/2023,1,"02:00:00 p. m.",27,99.47,130
04/02/2023,6,"08:00:00 a. m.",17,61.31,196
04/02/2023,15,"07:00:00 a. m.",4,76.02,92
04/02/2023,14,"09:00:00 a. m.",66,97.52,6
05/02/2023,11,"12:00:00 a. m.",55,74.41,118
05/02/2023,13,"09:00:00 p. m.",42,105.48,96
05/02/2023,9,"12:00:00 p. m.",26,112.88,79
05/02/2023,15,"02:00:00 a. m.",60,63.55,10
05/02/2023,1,"03:00:00 p. m.",49,93.81,16
05/02/2023,14,"08:00:00 a. m.",21,42.51,17
05/02/2023,12,"08:00:00 a. m.",28,49.96,16
06/02/2023,3,"06:00:00 a. m.",37,105.88,80
06/02/2023,9,"06:00:00 p. m.",88,104.5,88
06/02/2023,11,"08:00:00 a. m.",21,72.9,0
06/02/2023,7,"08:00:00 a. m.",97,65.45,22
06/02/2023,11,"03:00:00 a. m.",81,146.61,20
06/02/2023,1,"05:00:00 a. m.",9,147.52,12
06/02/2023,4,"07:00:00 a. m.",7,51.76,7
06/02/2023,1,"05:00:00 p. m.",5,140.21,19
06/02/2023,4,"12:00:00 a. m.",2,99.23,8
06/02/2023,1,"07:00:00 a. m.",20,47.36,31
06/02/2023,15,"06:00:00 a. m.",79,63.93,83
06/02/2023,1,"08:00:00 a. m.",54,104.88,196
07/02/2023,1,"01:00:00 a. m.",74,54.82,71
07/02/2023,13,"09:00:00 a. m.",4,110.39,166
07/02/2023,8,"11:00:00 p. m.",99,102.47,32
07/02/2023,1,"02:00:00 p. m.",81,86.17,123
07/02/2023,14,"03:00:00 p. m.",47,89.72,15
07/02/2023,15,"02:00:00 p. m.",32,94.33,68
07/02/2023,2,"07:00:00 a. m.",39,124.9,92
07/02/2023,3,"04:00:00 p. m.",3,33.4,129
07/02/2023,2,"10:00:00 a. m.",42,40.79,52
07/02/2023,3,"03:00:00 a. m.",78,49.14,39
07/02/2023,6,"04:00:00 p. m.",58,72.87,40
08/02/2023,8,"06:00:00 p. m.",48,107.28,37
08/02/2023,1,"05:00:00 p. m.",49,122.5,49
08/02/2023,11,"10:00:00 a. m.",82,94.39,37
08/02/2023,5,"09:00:00 a. m.",12,99.78,7
08/02/2023,13,"09:00:00 a. m.",29,83.11,35
08/02/2023,4,"03:00:00 p. m.",100,136.69,86
08/02/2023,15,"10:00:00 a. m.",45,137.04,98
08/02/2023,11,"08:00:00 p. m.",7,93.94,138
08/02/2023,11,"11:00:00 a. m.",51,83.85,107
08/02/2023,2,"05:00:00 a. m.",63,101.65,3
08/02/2023,7,"03:00:00 p. m.",84,107.73,16
08/02/2023,8,"09:00:00 a. m.",52,115.29,2
08/02/2023,10,"02:00:00 p. m.",87,138.25,24
09/02/2023,12,"02:00:00 p. m.",28,121.47,9
09/02/2023,5,"07:00:00 p. m.",40,51.45,187
09/02/2023,13,"07:00:00 a. m.",59,141.2,137
09/02/2023,9,"01:00:00 p. m.",61,101.78,51
09/02/2023,11,"01:00:00 p. m.",32,70.68,66
09/02/2023,4,"08:00:00 a. m.",88,40.35,5
09/02/2023,3,"12:00:00 p. m.",26,51.09,132
09/02/2023,14,"06:00:00 a. m.",40,62.67,11
09/02/2023,14,"03:00:00 a. m.",45,145.4,50
09/02/2023,12,"02:00:00 p. m.",28,99.79,28
09/02/2023,11,"11:00:00 a. m.",39,35.4,16
10/02/2023,12,"03:00:00 a. m.",100,79.21,4
10/02/2023,14,"03:00:00 a. m.",49,97.31,30
10/02/2023,12,"05:00:00 p. m.",45,101.35,10
10/02/2023,3,"10:00:00 p. m.",47,98.18,108
10/02/2023,8,"09:00:00 a. m.",33,144.28,25
10/02/2023,8,"01:00:00 a. m.",23,105.11,24
10/02/2023,7,"04:00:00 a. m.",7,147.91,113
10/02/2023,8,"11:00:00 a. m.",11,78.31,25
10/02/2023,2,"11:00:00 p. m.",2,149.71,65
11/02/2023,1,"08:00:00 a. m.",51,131.68,172
11/02/2023,15,"12:00:00 p. m.",43,41.41,70
11/02/2023,8,"09:00:00 a. m.",86,32.39,14
11/02/2023,1,"10:00:00 a. m.",27,44.87,188
11/02/2023,10,"08:00:00 p. m.",59,137.62,55
11/02/2023,1,"06:00:00 a. m.",3,107.68,158
11/02/2023,12,"06:00:00 a. m.",7,123.88,3
11/02/2023,8,"11:00:00 a. m.",91,127.87,10
12/02/2023,2,"12:00:00 p. m.",19,69.87,62
12/02/2023,6,"01:00:00 a. m.",22,53.46,19
12/02/2023,8,"03:00:00 a. m.",42,96.63,50
12/02/2023,8,"03:00:00 a. m.",8,147.32,9
12/02/2023,5,"04:00:00 a. m.",11,138.71,115
12/02/2023,11,"10:00:00 p. m.",95,99.16,57
12/02/2023,3,"10:00:00 p. m.",46,136.66,140
12/02/2023,8,"01:00:00 a. m.",74,124.11,40
12/02/2023,9,"01:00:00 p. m.",12,109.02,51
12/02/2023,11,"09:00:00 a. m.",75,108.02,78
12/02/2023,9,"01:00:00 a. m.",63,33.85,30
12/02/2023,8,"06:00:00 p. m.",57,144.11,35
12/02/2023,13,"07:00:00 a. m.",85,67.41,37
12/02/2023,1,"02:00:00 p. m.",97,74.6,186
12/02/2023,3,"08:00:00 a. m.",9,43.39,44
12/02/2023,15,"08:00:00 a. m.",87,73.2,100
13/02/2023,1,"12:00:00 a. m.",18,111.83,33
13/02/2023,6,"10:00:00 a. m.",91,83.47,61
13/02/2023,6,"05:00:00 a. m.",30,33.59,180
13/02/2023,7,"06:00:00 p. m.",1,56.6,137
13/02/2023,8,"04:00:00 p. m.",69,93.14,5
13/02/2023,13,"10:00:00 p. m.",17,61.93,27
13/02/2023,1,"09:00:00 a. m.",94,98.48,14
13/02/2023,8,"06:00:00 p. m.",22,95.46,32
